ID,Culture_code,Culture_code_Arc,Culture_name,Continent,Subsistence_type,Calendar_name,Inclusion_status,Reason_for_exclusion,Sources
FD06,FD06,NA,Kpelle,Africa,Horticulturalists,Kpelle calendar,Included,Not excluded,"Gay, J., & Cole, M. (1967). The new mathematics and an old culture: A study of learning among the Kpelle of Liberia. Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=fd06-002

Germain, J. (1955). Extract from a monograph on the inhabitants of the Circle of N'Zérékoré (Guerzé, Kono, Manon): The artisans — the techniques and the arts (S. L. Granka, Trans.). Études Guinéennes, 13, 3–54. https://ehrafworldcultures.yale.edu/document?id=fd06-023

Westermann, D. H. (1921). The Kpelle: A Negro tribe in Liberia (F. Schütze, Trans.). Vandenhoeck & Ruprecht; J. C. Hinrichs'sche Buchhandlung. https://ehrafworldcultures.yale.edu/document?id=fd06-007"
FE11,FE11,NA,Tallensi,Africa,Intensive Agriculturalists,Tallensi calendar,Excluded,Partially missing data on some calendar units,"Fortes, M. (1987). Religion, morality, and the person: Essays on Tallensi religion (J. Goody, Ed.). Cambridge University Press. https://ehrafworldcultures.yale.edu/document?id=fe11-011"
FE12_A,FE12,NA,Akan (Ashanti),Africa,Horticulturalists,Akan Adaduanan calendar,Included,Not excluded,"Bartle, P. F. W. (1978). Forty days: The Akan calendar. Africa: Journal of the International African Institute, 48(1), 80–84.

Danquah, J. B. (1928). Gold Coast: Akan laws and customs and the Akim Abuakwa constitution. George Routledge & Sons. https://ehrafworldcultures.yale.edu/document?id=fe12-019

Meyerowitz, E. L. R. (1974). The early history of the Akan states of Ghana. Red Candle Press. https://ehrafworldcultures.yale.edu/document?id=fe12-052

Rattray, R. S. (1923). Ashanti. Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=fe12-001

Wilks, I. (1992). On mentally mapping Greater Asante: A study of time and motion. Journal of African History, 33(2), 175–190. https://ehrafworldcultures.yale.edu/cultures/fe12/documents/040

Wilks, I. (1993). Forests of gold: Essays on the Akan and the Kingdom of Asante. Ohio University Press. https://ehrafworldcultures.yale.edu/document?id=fe12-028"
FE12_B,FE12,NA,Krobo,Africa,Horticulturalists,Krobo calendar,Excluded,Partially missing data on some calendar units,"Meyerowitz, E. L. R. (1974). The early history of the Akan states of Ghana. Red Candle Press. https://ehrafworldcultures.yale.edu/cultures/fe12/documents/052"
FF26,FF26,NA,Igbo,Africa,Horticulturalists,Igbo calendar,Excluded,Partially missing data on some calendar units,"Afigbo, A. E. (1981). Ropes of sand: Studies in Igbo history and culture. University Press in association with Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=ff26-038 

Henderson, H. K. (1980). Ritual roles of women in Onitsha Ibo society [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ff26-028 

Henderson, R. N. (1972). The king in every man: Evolutionary trends in Onitsha Ibo society and culture. Yale University Press. https://ehrafworldcultures.yale.edu/document?id=ff26-022 

Meek, C. K. (1970). Law and authority in a Nigerian tribe: A study in indirect rule. Barnes & Noble. https://ehrafworldcultures.yale.edu/document?id=ff26-008 

Okere, L. C. (1980). Socio-economic and cultural aspects of food and food habits in rural Igboland [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ff26-029 

Ottenberg, S. (1975). Masked rituals of Afikpo: The context of an African art (Index of Art in the Pacific Northwest). University of Washington Press. https://ehrafworldcultures.yale.edu/document?id=ff26-030 

Thomas, N. W. (1914). Anthropological report on the Ibo-speaking peoples of Nigeria: Pt. 4. Law and custom of the Ibo of the Asaba district, S. Nigeria. Harrison and Sons. https://ehrafworldcultures.yale.edu/document?id=ff26-020"
FF52,FF52,NA,Nupe,Africa,Horticulturalists,Nupe calendar,Excluded,Fully missing data on our six specific calendar units,"Nadel, S. F. (1942). A black Byzantium: The kingdom of Nupe in Nigeria. Oxford University Press for the International Institute of African Languages and Cultures. https://ehrafworldcultures.yale.edu/document?id=ff52-001"
FF57,FF57,NA,Tiv,Africa,Horticulturalists,Tiv calendar,Included,Not excluded,"Bohannan, L., & Bohannan, P. (1953). The Tiv of central Nigeria (Ethnographic Survey of Africa: Western Africa, Pt. 8). International African Institute. https://ehrafworldcultures.yale.edu/cultures/ff57/documents/019

Bohannan, P. (1953). Concepts of time among the Tiv of Nigeria. Southwestern Journal of Anthropology, 9(3), 251–262. https://ehrafworldcultures.yale.edu/cultures/ff57/documents/027

Bohannan, P. (1998). Culture summary: Tiv. Human Relations Area Files. https://ehrafworldcultures.yale.edu/cultures/ff57/documents/000"
FF62,FF62,NA,Yoruba,Africa,Horticulturalists,Yoruba calendar,Included,Not excluded,"Ajisafe, A. K. (1924). The laws and customs of the Yoruba people. George Routledge & Sons. https://ehrafworldcultures.yale.edu/cultures/ff62/documents/003

Bascom, W. R. (1952). The Esusu: A credit institution of the Yoruba. Journal of the Royal Anthropological Institute of Great Britain and Ireland, 82(1), 63–69. https://ehrafworldcultures.yale.edu/document?id=ff62-017

Bascom, W. R. (1969). The Yoruba of southwestern Nigeria (Case Studies in Cultural Anthropology). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/cultures/ff62/documents/047

Nilsson, M. P. (1920). Primitive time-reckoning: A study in the origins and first development of the art of counting time among the primitive and early culture peoples. C. W. K. Gleerup.

Ségla, D. A. (2014). Yoruba ethnoastronomy: ""Orisha/Vodun,"" or how people's conceptions of the sky constructed science. In C. L. N. Ruggles (Ed.), Handbook of archaeoastronomy and ethnoastronomy (pp. 1046–1058). Springer. https://doi.org/10.1007/978-1-4614-6141-8_100

Sogbesan, O. (2022). Primordial Yoruba concept of time and calendar: The case of the Aboòrìsàs of Oyo Town. Journal of Culture, Society and Development, 67, 68–75."
FI21,FI21,NA,Masa,Africa,Agro-Pastoralists,Masa calendar,Excluded,Fully missing data on our six specific calendar units,"Dumas-Champion, F. (2008). L'activite pastorale et le cycle vegetatif chez les Masa (Tchad/Cameroun). Journal des Africanistes, 78(1-2), 143-156. https://ehrafworldcultures.yale.edu/document?id=fi21-003"
FJ22,FJ22,NA,Nuer,Africa,Agro-Pastoralists,Nuer calendar,Excluded,Fully missing data on our six specific calendar units,"Evans-Pritchard, E. E. (1940). The Nuer: A description of the modes of livelihood and political institutions of a Nilotic people. Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=fj22-001 

Huffman, R. (1931). Nuer customs and folklore (D. Westermann, Ed.). International Institute of African Languages and Culture. https://ehrafworldcultures.yale.edu/document?id=fj22-014"
FJ23,FJ23,NA,Shilluk,Africa,Agro-Pastoralists,Shilluk calendar,Excluded,Fully missing data on our six specific calendar units,"Seligman, C. G., & Seligman, B. Z. (1932). Pagan tribes of the Nilotic Sudan. George Routledge and Sons. https://ehrafworldcultures.yale.edu/document?id=fj23-002"
FK07,FK07,NA,Ganda,Africa,Intensive Agriculturalists,Ganda calendar,Excluded,Partially missing data on some calendar units,"Roscoe, J. (1911). The Baganda: An account of their native customs and beliefs. Macmillan. https://ehrafworldcultures.yale.edu/document?id=fk07-002"
FK11,FK11,NA,Banyoro,Africa,Horticulturalists,Banyoro calendar,Excluded,Fully missing data on our six specific calendar units,"Beattie, J. (1971). The Nyoro state. Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=fk11-001"
FK13,FK13,NA,Bagisu,Africa,Horticulturalists,Bagisu calendar,Excluded,Partially missing data on some calendar units,"Roscoe, J. (1924). The Bagesu and other tribes of the Uganda Protectorate: The third part of the report of the Mackie ethnological expedition to Central Africa. Cambridge University Press. https://ehrafworldcultures.yale.edu/document?id=fk13-002"
FL10,FL10,NA,Gikuyu people (also Agĩkũyũ),Africa,Intensive Agriculturalists,Gikuyu calendar,Excluded,Partially missing data on some calendar units,"Adam, M. (1997). Espace et temps chez les Kikuyu du Kenya. L'Homme, 37(142). 

Cagnolo, C. (1933). The Akikuyu: Their customs, traditions and folklore. Mission Printing School. 

Kenyatta, J. (1953). Facing Mount Kenya: The tribal life of the Gikuyu. Secker and Warburg. https://ehrafworldcultures.yale.edu/document?id=fl10-004 

Routledge, W. S., & Routledge, K. (1910). With a prehistoric people, the Akikuyu of British East Africa: Being some account of the method of life and mode of thought found existent amongst a nation on its first contact with European civilisation. Edward Arnold. https://ehrafworldcultures.yale.edu/document?id=fl10-007 

Webster, H. (1916). Rest days: A study in early law and morality. Macmillan."
FL12,FL12,NA,Maasai,Africa,Pastoralists,Maasai calendar,Excluded,Partially missing data on some calendar units,"Fox, D. S. (1930). Further notes on the Masai of Kenya Colony. Journal of the Royal Anthropological Institute of Great Britain and Ireland, 60, 447-465. https://ehrafworldcultures.yale.edu/document?id=fl12-012 

Hollis, A. C. (1905). The Masai: Their language and folklore. Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=fl12-001 

Merker, M. (1910). The Masai: Ethnographic monograph of an East African Semite people (F. Schutze, Trans.). Dietrich Reimer. https://ehrafworldcultures.yale.edu/cultures/fl12/documents/018 

Webster, H. (1916). Rest days: A study in early law and morality. Macmillan."
FL17,FL17,NA,Turkana,Africa,Pastoralists,Turkana calendar,Excluded,Partially missing data on some calendar units,"Dyson-Hudson, R., & McCabe, J. T. (1985). South Turkana nomadism: Coping with an unpredictably varying environment (HRAFlex Books Ethnography Series). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=fl17-003 

Emley, E. D. (1927). The Turkana of Kolosia District. Journal of the Royal Anthropological Institute of Great Britain and Ireland, 57, 157-201. https://ehrafworldcultures.yale.edu/document?id=fl17-023 

Ohta, I. (1987). Livestock individual identification among the Turkana: The animal classification and naming in the pastoral livestock management. African Study Monographs, 8(1), 1-69. https://ehrafworldcultures.yale.edu/document?id=fl17-006"
FL20,FL20,NA,Okiek,Africa,Hunter-gatherers,Okiek calendar,Excluded,Partially missing data on some calendar units,"Huntingford, G. W. B. (1955). The economic life of the Dorobo. Anthropos, 50, 602-634. https://ehrafworldcultures.yale.edu/document?id=fl20-006"
FN04,FN04,NA,Chagga,Africa,Intensive Agriculturalists,Chagga calendar,Included,Not excluded,"Dundas, C. (1924). Kilimanjaro and its people: A history of the Wachagga, their laws, customs and legends, together with some account of the highest mountain in Africa. H. F. & G. Witherby. https://ehrafworldcultures.yale.edu/document?id=fn04-004

Dundas, C. (1926). Chagga time-reckoning. Man, 26, 140–143. https://doi.org/10.2307/2788287

Marealle, P. I., & Swai, R. D. (1963). Notes on Chagga customs. Tanganyika Notes and Records, 60, 67–90. https://ehrafworldcultures.yale.edu/document?id=fn04-006

Webster, H. (1916). Rest days: A study in early law and morality. Macmillan."
FN17,FN17,NA,Nyakyusa and Ngonde,Africa,Intensive Agriculturalists,Nyakyusa calendar,Excluded,Partially missing data on some calendar units,"Wilson, M. H. (1959). Communal rituals of the Nyakyusa. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=fn17-009"
FO07,FO07,NA,Azande,Africa,Horticulturalists,Azande calendar,Excluded,Partially missing data on some calendar units,"Baxter, P. T. W., & Butt, A. (1953). The Azande, and related peoples of the Anglo-Egyptian Sudan and Belgian Congo (Ethnographic Survey of Africa: East Central Africa). International African Institute. https://ehrafworldcultures.yale.edu/document?id=fo07-056 

Calonne-Beaufaict, A. de. (1921). Azande: Introduction to a general ethnography of Ubangi-Uele and Aruwimi basins. Institut Solvay, Travaux de l'Institut de Sociologie. https://ehrafworldcultures.yale.edu/cultures/fo07/documents/018 

Schlippe, P. de. (1956). Shifting cultivation in Africa: The Zande system of agriculture. Routledge & Kegan Paul. https://ehrafworldcultures.yale.edu/document?id=fo07-060"
FO57,FO57,NA,Rwandans,Africa,Agro-Pastoralists,Rwanda calendar,Excluded,Partially missing data on some calendar units,"Czekanowski, J. (1917). Investigations in the area between the Nile and the Congo: Vol. 1. Ethnography, the interlacustrine region of Mporo and Ruanda (F. Schutze, Trans.; Wissenschaftliche Ergebnisse der Deutschen Zentral-Afrika-Expedition 1907-1908, Vol. 6). Klinkhardt & Biermann. https://ehrafworldcultures.yale.edu/cultures/fo57/documents/004 

Hove, J. van. (1941). Essay on the common law of Ruanda (D. Crawford, Trans.). M. Hayez. https://ehrafworldcultures.yale.edu/document?id=fo57-001 

Pages, A. (1933). A Hamitic kingdom in the center of Africa: In Ruanda on the shores of Lake Kivu (Belgian Congo) (B. Scholl, Trans.; Memoires, Vol. 1). Librairie Falk fils, Georges van Campenhout. https://ehrafworldcultures.yale.edu/document?id=fo57-003"
FO58,FO58,NA,Barundi,Africa,Horticulturalists,Barundi calendar,Excluded,Partially missing data on some calendar units,"Meyer, H. (1916). The Barundi: An ethnological study of German East Africa (H. Handzik, Trans.). Otto Spamer. https://ehrafworldcultures.yale.edu/document?id=fo58-001"
FP13,FP13,NA,Ovimbundu,Africa,Horticulturalists,Ovimbundu calendar,Excluded,Partially missing data on some calendar units,"Hambly, W. D. (1934). The Ovimbundu of Angola: Frederick H. Rawson-Field Museum ethnological expedition to West Africa, 1929-30 (Field Museum of Natural History Anthropological Series, Vol. 21, No. 2). Field Museum of Natural History. https://ehrafworldcultures.yale.edu/document?id=fp13-003"
FQ05,FQ05,NA,Bemba,Africa,Horticulturalists,Bemba calendar,Excluded,Partially missing data on some calendar units,"Richards, A. I. (1939). Land, labour and diet in Northern Rhodesia: An economic study of the Bemba tribe. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=fq05-002"
FQ06,FQ06,NA,Ila,Africa,Horticulturalists,Ila calendar,Excluded,Partially missing data on some calendar units,"Smith, E. W., & Dale, A. M. (1920). The Ila-speaking peoples of Northern Rhodesia: Vol. 2. Macmillan. https://ehrafworldcultures.yale.edu/document?id=fq06-002"
FQ09,FQ09,NA,Lozi,Africa,Other Subsistence Combinations,Lozi calendar,Excluded,Fully missing data on our six specific calendar units,"Gluckman, M. (1941). Economy of the central Barotse plain (Rhodes-Livingstone Papers No. 7). Rhodes-Livingstone Institute. https://ehrafworldcultures.yale.edu/document?id=fq09-010"
FQ12,FQ12,NA,Tonga,Africa,Horticulturalists,Tonga calendar,Excluded,Fully missing data on our six specific calendar units,"Colson, E. (1971). The social consequences of resettlement: The impact of the Kariba resettlement upon the Gwembe Tonga (Kariba Studies). Manchester University Press. https://ehrafworldcultures.yale.edu/document?id=fq12-004"
FS05,FS05,NA,Shona,Africa,Agro-Pastoralists,Shona calendar,Excluded,Partially missing data on some calendar units,"Beach, D. N. (1980). The Shona & Zimbabwe 900-1850: An outline of Shona history. Heinemann. https://ehrafworldcultures.yale.edu/document?id=fs05-044 

Gelfand, M. (1981). Ukama: Reflections on Shona and Western cultures in Zimbabwe. Mambo Press. https://ehrafworldcultures.yale.edu/document?id=fs05-006 

Gelfand, M., & Hannan, M. (1968). African crucible: An ethico-religious study with special reference to the Shona-speaking people. Juta. https://ehrafworldcultures.yale.edu/document?id=fs05-013"
FT06,FT06,NA,Tsonga,Africa,Agro-Pastoralists,Tsonga calendar,Excluded,Partially missing data on some calendar units,"Junod, H. A. (1927). The life of a South African tribe: Vol. 2 (2nd ed.). Macmillan. https://ehrafworldcultures.yale.edu/document?id=ft06-002"
FX08,FX08,NA,Ovambo,Africa,Agro-Pastoralists,Ovambo calendar,Excluded,Partially missing data on some calendar units,"Estermann, C. (1976). The Ambo ethnic group. In The ethnography of southwestern Angola: Vol. 1 (pp. 49-217). Africana Publishing. https://ehrafworldcultures.yale.edu/document?id=fx08-001 

Loeb, E. M. (1962). In feudal Africa (Publication of the Indiana University Research Center in Anthropology, Folklore, and Linguistics). Indiana University. https://ehrafworldcultures.yale.edu/document?id=fx08-005"
FX10_A,FX10,NA,!Kung (San),Africa,Hunter-gatherers,!Kung calendar,Included,Not excluded,"Lebzelter, V. (1934). Native cultures in southwest and south Africa: Vol. 2 (R. Neuse, Trans.). Karl W. Hiersemann. https://ehrafworldcultures.yale.edu/document?id=fx10-003

Marshall, L. (1976). The !Kung of Nyae Nyae. Harvard University Press. https://ehrafworldcultures.yale.edu/document?id=fx10-017

Tanaka, J. (1980). The San hunter-gatherers of the Kalahari: A study in ecological anthropology (D. W. Hughes, Trans.). University of Tokyo Press. https://ehrafworldcultures.yale.edu/document?id=fx10-027"
FX10_B,FX10,NA,G/wi (San),Africa,Hunter-gatherers,G/wi calendar,Excluded,Partially missing data on some calendar units,"Silberbauer, G. B. (1981). Hunter and habitat in the central Kalahari desert. Cambridge University Press. https://ehrafworldcultures.yale.edu/document?id=fx10-030"
FX13,FX13,NA,Khoi,Africa,Other Subsistence Combinations,Khoi calendar,Included,Not excluded,"Schapera, I. (1930). Culture of the Hottentots. In The Khoisan peoples of South Africa: Bushmen and Hottentots (pp. 221–418). Routledge. https://ehrafworldcultures.yale.edu/document?id=fx13-015

Schultze, L. S. (1907). In Namaland and the Kalahari (E. C. Knight & T. Ziolkowski, Trans.). Gustav Fischer. https://ehrafworldcultures.yale.edu/document?id=fx13-001"
FX20,FX20,NA,Zulu,Africa,Agro-Pastoralists,Zulu calendar,Excluded,Partially missing data on some calendar units,"Krige, E. J. (1965). The social system of the Zulus. Shuter & Shooter. https://ehrafworldcultures.yale.edu/document?id=fx20-001 

Medupe, T. R. (2015). Indigenous astronomy in southern Africa. In C. L. N. Ruggles (Ed.), Handbook of archaeoastronomy and ethnoastronomy (pp. 1031-1036). Springer. https://doi.org/10.1007/978-1-4614-6141-8_94 

Vilakazi, A. (1962). Zulu transformations: A study of the dynamics of social change. University of Natal Press. https://ehrafworldcultures.yale.edu/document?id=fx20-003"
FY08,FY08,NA,Tanala,Africa,Intensive Agriculturalists,Tanala calendar,Included,Not excluded,"Linton, R. (1933). The Tanala, a hill tribe of Madagascar (Field Museum of Natural History, Anthropological Series Publication No. 317, Vol. 22). Field Museum of Natural History. https://ehrafworldcultures.yale.edu/document?id=fy08-001

Webster, H. (1916). Rest days: A study in early law and morality. Macmillan."
MA01_A,MA01,NA,Persians,Asia,Intensive Agriculturalists,Persian (Solar Hijri) calendar,Included,Not excluded,"Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Solar Hijri calendar. (2026, January 23). In Wikipedia. https://en.wikipedia.org/wiki/Solar_Hijri_calendar"
MA01_B,MA01,NA,Persians,Middle East,Intensive Agriculturalists,Persian-Zoroastrian calendar,Included,Not excluded,"Boyce, M. (2005). Further on the calendar of Zoroastrian feasts. Iran, 43(1), 1–38. https://doi.org/10.1080/05786967.2005.11834662

Gharib, B. (2002). Hafta. In Encyclopædia Iranica (Vol. 11, Fasc. 5, p. 530). https://iranicaonline.org/articles/hafta-week-history-of-the-weeky-calendar-in-iran-1

Zoroastrian calendar. (2025, December 1). In Wikipedia. https://en.wikipedia.org/wiki/Zoroastrian_calendar"
MA01_C,MA01,NA,Iran,Middle East,Intensive Agriculturalists,Iranese calendar,Excluded,Fully missing data on our six specific calendar units,"Fischer, M. M. J. (1980). Discourse and mimesis: Shi'ism in everyday life. In Iran: From religious dispute to revolution (pp. 136-180). Harvard University Press. https://ehrafworldcultures.yale.edu/document?id=ma01-091"
MA01_D,MA01,NA,Persians,Middle East,Intensive Agriculturalists,Old Persian calendar,Excluded,Fully missing data on our six specific calendar units,"Hallock, R. T. (1969). Persepolis fortification tablets (Oriental Institute Publications, Vol. 92). University of Chicago Press. 

Stern, S. (Ed.). (2021). Calendars in the making: The origins of calendars from the Roman Empire to the later Middle Ages. Brill."
MA01_E,MA01,NA,Persians,Middle East,Intensive Agriculturalists,Persian Jalali calendar,Included,Not excluded,"Heydari-Malayeri, M. (2004). A concise review of the Iranian calendar. arXiv. https://arxiv.org/abs/astro-ph/0409620

Stern, S. (Ed.). (2021). Calendars in the making: The origins of calendars from the Roman Empire to the later Middle Ages. Brill.

Thomann, J. (2021). The institution of the Jalālī calendar in 1079 CE and its cohabitation with the older Persian calendar. In S. Stern (Ed.), Calendars in the making: The origins of calendars from the Roman Empire to the later Middle Ages (pp. 210–244). Brill."
MA10,MA10,NA,Basseri,Middle East,Pastoralists,Basseri calendar,Excluded,Fully missing data on our six specific calendar units,"Barth, F. (1961). Nomads of South Persia: The Basseri tribe of the Khamseh Confederacy (Universitetets Etnografiske Museum Bulletin No. 8). Universitetsforlaget; Humanities Press. https://ehrafworldcultures.yale.edu/document?id=ma10-001"
MA12,MA12,NA,Lur,Middle East,Agro-Pastoralists,Lur calendar,Excluded,Fully missing data on our six specific calendar units,"Mortensen, I. D., & Nicolaisen, I. (1993). Nomads of Luristan: History, material culture, and pastoralism in western Iran. Thames and Hudson; Rhodos International Science and Art Publishers. https://ehrafworldcultures.yale.edu/document?id=ma12-004"
MB01_A,MB01,NA,Turks,Middle East,Commercial Economy,Turkish calendar,Excluded,Fully missing data on our six specific calendar units,"Yasa, I. (1957). Hasanoglan: Socio-economic structure of a Turkish village (F. Mansur & A. T. J. Matthews, Trans.). Yeni Matbaa. https://ehrafworldcultures.yale.edu/document?id=mb01-006"
MB01_B,MB01,NA,Ottomans,Middle East,Intensive Agriculturalists,Rumi calendar,Excluded,Partially missing data on some calendar units,"Rumi calendar. (2025, August 21). In Wikipedia. https://en.wikipedia.org/wiki/Rumi_calendar"
MD04,MD04,NA,Rwala Bedouin,Middle East,Pastoralists,Rwala Bedouin calendar,Excluded,Fully missing data on our six specific calendar units,"Musil, A. (1928). The manners and customs of the Rwala Bedouins (Oriental Explorations and Studies No. 6). American Geographical Society. https://ehrafworldcultures.yale.edu/document?id=md04-002,"
MF07,MF07,NA,Ancient Israelites,Middle East,Intensive Agriculturalists,Hebrew calendar,Included,Not excluded,"Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Heaton, E. W. (1956). Everyday life in Old Testament times. Scribner. https://ehrafworldcultures.yale.edu/document?id=mf07-004

Hebrew calendar. (2026, January 29). In Wikipedia. https://en.wikipedia.org/wiki/Hebrew_calendar"
MH07,MH07,MH64,Sumerians / Babylonians,Middle East,Intensive Agriculturalists,Sumerian-Babylonian calendar,Included,Not excluded,"Cohen, S. (1943). Week. In I. Landman (Ed.), The Universal Jewish Encyclopedia: An authoritative and popular presentation of Jews and Judaism since the earliest times (Vol. 10, p. 482). Universal Jewish Encyclopedia.

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Kramer, S. N. (1963). The Sumerians: Their history, culture, and character. University of Chicago Press. https://ehrafarchaeology.yale.edu/document?id=mh64-004

Richards, E. G. (1999). Mapping time: The calendar and its history. Oxford University Press.

Saggs, H. W. F. (1988). The greatness that was Babylon: A survey of the ancient civilization of the Tigris-Euphrates Valley (Great Civilization Series). Sidgwick and Jackson. https://ehrafworldcultures.yale.edu/document?id=mh07-001

Sharlach, T. (2013). Calendars and counting. In H. Crawford (Ed.), The Sumerian world (pp. 305–318). Routledge. https://doi.org/10.4324/9780203096604-19

Steele, J. M. (2011). Astronomy and culture in Late Babylonian Uruk. Proceedings of the International Astronomical Union, 7(S278), 331–341."
MJ04,MJ04,NA,Bedouin,Middle East,Pastoralists,Bedouin calendar,Excluded,Fully missing data on our six specific calendar units,"Dickson, H. R. P. (1951). The Arab of the desert: A glimpse into Badawin life in Kuwait and Sau'di Arabia. George Allen & Unwin. https://ehrafworldcultures.yale.edu/document?id=mj04-001"
MO04_A,MO04,NA,Somali,Africa,Pastoralists,Somali solar calendar,Excluded,Partially missing data on some calendar units,"Cerulli, E. (1923-1925). Observations on the Moslem movement in Somaliland (P. A. Mankin, Trans.). Rivista degli Studi Orientali, 10, 1-36. https://ehrafworldcultures.yale.edu/cultures/mo04/documents/010

Cerulli, E. (1957). New notes on the astronomical ideas of the Somalis (P. Biancani, Trans.). In Somalia: Scritti vari editi ed inediti: Vol. 1 (pp. 219-227). Amministrazione Fiduciaria Italiana della Somalia; Istituto Poligrafico dello Stato. https://ehrafworldcultures.yale.edu/cultures/mo04/documents/020

Lewis, I. M. (1955). Peoples of the Horn of Africa: Somali, Afar, and Saho (Ethnographic Survey of Africa: North Eastern Africa). International African Institute. https://ehrafworldcultures.yale.edu/document?id=mo04-001"
MO04_B,MO04,NA,Somali,Africa,Pastoralists,Somali lunar calendar,Excluded,Partially missing data on some calendar units,"Lewis, I. M. (1955). Peoples of the Horn of Africa: Somali, Afar, and Saho (Ethnographic Survey of Africa: North Eastern Africa). International African Institute. https://ehrafworldcultures.yale.edu/document?id=mo04-001"
MO13,MO13,NA,Palestinians,Middle East,Commercial Economy,Palestinian calendar,Excluded,Fully missing data on our six specific calendar units,"Canaan, T. (1927). Mohammedan saints and sanctuaries in Palestine (Luzac's Oriental Religion Series, Vol. 5). Luzac. https://ehrafworldcultures.yale.edu/document?id=mo13-018

Vaux, R. de. (1961). Ancient Israel: Its life and institutions (J. McHugh, Trans.). McGraw-Hill. https://ehrafworldcultures.yale.edu/document?id=mf07-001"
MP14,MP14,NA,Kaffa,Africa,Intensive Agriculturalists,Kaffa calendar,Included,Not excluded,"Grühl, M. (1977). In the dominions of the Divine Emperor. In The citadel of Ethiopia: The empire of the divine emperor (pp. 167–316). AMS Press. https://ehrafworldcultures.yale.edu/document?id=mp14-001"
MP17,MP17,NA,Konso,Africa,Intensive Agriculturalists,Konso calendar,Excluded,Partially missing data on some calendar units,"Hallpike, C. R. (2008). The Konso of Ethiopia: A study of the values of an East Cushitic people (2nd ed.). AuthorHouse. https://ehrafworldcultures.yale.edu/cultures/mp17/documents/004"
MQ08,MQ08,NA,Fur,Africa,Intensive Agriculturalists,Fur calendar,Excluded,Fully missing data on our six specific calendar units,"Felkin, R. W. (1886). Notes on the For tribe of Central Africa. Proceedings of the Royal Society of Edinburgh, 13, 205-265. https://ehrafworldcultures.yale.edu/document?id=mq08-004"
MR08,MR08,NA,Nubians,Africa,Horticulturalists,Nubian calendar,Excluded,Fully missing data on our six specific calendar units,"Ammar, H. M. (1966). Growing up in an Egyptian village: Silwa, Province of Aswan. Octagon Books.

Callender, C., & El Guindi, F. (1971). Life-crisis rituals among the Kenuz (Case Western Reserve University Studies in Anthropology No. 3). Press of Case Western Reserve University. https://ehrafworldcultures.yale.edu/document?id=mr08-005

Trimingham, J. S. (1949). Islam in the Sudan. Oxford University Press."
MR13,MR13,NA,Copts (e.g. Fellahin),Africa,Intensive Agriculturalists,Coptic calendar,Included,Not excluded,"Coptic calendar. (2026, January 30). In Wikipedia. https://en.wikipedia.org/wiki/Coptic_calendar

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press. "
MS11,MS11,NA,Fulani,Africa,Pastoralists,Fulani calendar,Excluded,Partially missing data on some calendar units,"Loftsdottir, K. (2008). The bush is sweet: Identity, power and development among the WoDaaBe Fulani in Niger. Nordiska Afrikainstitutet. https://ehrafworldcultures.yale.edu/document?id=ms11-015

Stenning, D. J. (1964). Savannah nomads: A study of the Wodaabe pastoral Fulani of Western Bornu Province, Northern Region, Nigeria. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=ms11-001"
MS12,MS12,NA,Hausa,Africa,Other Subsistence Combinations,Hausa calendar,Excluded,Partially missing data on some calendar units,"Faulkingham, R. H. (1972). Political support in a Hausa village [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ms12-016

Smith, M. G. (1965). The Hausa of northern Nigeria. In Peoples of Africa (pp. 119-155). Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=ms12-017"
MS14,MS14,NA,Kanuri,Africa,Intensive Agriculturalists,Kanuri calendar,Excluded,Partially missing data on some calendar units,"Cohen, R. (1960). The structure of Kanuri society [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ms14-003

Rosman, A. (1966). Social structure and acculturation among the Kanuri of northern Nigeria [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/document?id=ms14-002"
